index,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,label
5314,2,3,8,0,4,2,0,0,3,1,0,0,3,7,7,0,2,1,5,3,4,0,1
2075,2,3,9,0,1,2,0,0,0,0,1,3,3,7,7,0,2,1,5,0,2,2,-1
5165,3,3,8,0,4,2,0,0,7,1,0,0,3,7,7,0,2,1,5,3,3,0,1
1155,0,2,8,0,0,2,0,0,0,0,1,3,3,7,7,0,2,1,5,1,3,2,-1
4448,2,2,9,1,4,2,0,0,3,0,0,2,2,1,1,0,2,1,3,3,5,0,1
1045,2,3,8,0,0,2,0,0,10,0,1,3,3,7,7,0,2,1,5,1,3,0,-1
3181,2,0,5,1,2,2,0,1,8,0,0,3,3,7,7,0,2,1,5,0,4,6,1
3225,3,0,3,0,6,2,0,0,8,1,0,3,3,3,5,0,2,1,5,1,5,6,-1
1083,3,0,3,1,6,2,1,0,1,1,3,0,0,7,7,0,2,1,1,0,3,0,-1
6239,3,3,0,1,3,2,0,1,2,1,6,3,2,7,5,0,2,1,1,7,4,6,1
4700,3,2,9,1,4,2,0,0,3,0,0,2,2,0,0,0,2,1,3,3,4,3,1
2769,2,0,3,0,6,2,0,0,8,1,0,3,3,7,3,0,2,1,5,1,5,6,-1
5020,3,3,8,0,4,2,0,0,3,1,0,3,0,7,7,0,2,1,5,3,4,4,1
1302,3,3,8,1,6,2,1,0,3,1,3,3,0,7,7,0,2,1,1,1,3,0,-1
2604,3,0,0,0,6,2,0,0,1,1,0,3,3,3,7,0,2,1,5,1,4,6,-1
4864,3,2,3,1,4,2,0,0,3,0,0,2,2,5,5,0,2,1,3,3,5,0,1
2058,2,0,8,1,6,2,1,0,7,1,3,3,0,7,7,0,2,1,1,1,0,0,-1
6346,3,3,0,1,4,2,0,1,2,1,6,3,3,5,5,0,2,1,1,7,4,1,1
376,5,0,0,1,6,2,0,1,0,0,3,3,3,7,7,0,2,1,5,0,5,4,-1
7403,4,2,7,1,3,2,0,1,2,1,6,2,2,5,5,0,2,1,1,7,4,1,1
873,2,0,0,0,6,2,0,0,1,1,0,3,3,3,7,0,2,1,5,0,4,6,-1
6459,3,3,7,1,8,2,0,1,2,1,6,2,3,7,5,0,2,1,1,7,4,6,1
6266,3,2,0,1,8,2,0,1,2,1,6,2,3,5,5,0,2,1,1,7,4,3,1
4911,3,3,7,0,6,2,0,0,10,0,6,3,3,7,6,0,2,2,1,7,1,5,-1
2284,2,2,0,0,6,2,0,0,7,1,0,3,3,7,5,0,2,1,5,0,5,6,-1
5292,2,2,7,1,3,2,0,1,2,1,6,2,2,7,5,0,2,1,1,7,4,6,1
5544,4,2,7,0,6,2,0,0,10,0,6,3,3,7,7,0,2,2,1,7,1,5,-1
5486,2,2,3,1,4,2,0,0,7,0,0,2,2,5,5,0,2,1,3,3,5,3,1
2148,3,0,7,0,6,2,0,0,8,1,0,3,3,7,7,0,2,1,5,1,5,6,-1
607,3,2,0,0,0,2,0,0,1,0,5,3,1,7,7,0,2,1,5,0,5,0,-1
5371,4,3,5,0,6,2,0,0,10,0,6,3,3,7,6,0,2,2,1,7,1,5,-1
6129,2,3,0,1,3,2,0,1,2,1,6,2,2,7,5,0,2,1,1,7,4,6,1
1732,3,3,3,1,6,2,1,0,1,1,3,0,0,7,7,0,2,1,1,0,0,0,-1
4238,3,0,3,1,4,2,0,0,4,0,0,2,2,1,1,0,2,1,3,3,4,3,1
2161,2,0,7,0,6,2,0,0,7,1,0,3,3,3,7,0,2,1,5,1,5,6,-1
4401,3,0,9,1,4,2,0,0,3,0,0,2,2,1,1,0,2,1,3,3,4,0,1
3916,3,2,7,0,6,2,0,0,1,1,0,3,3,7,5,0,2,1,5,1,4,6,-1
1037,3,0,9,0,0,2,1,1,1,1,0,3,3,7,7,0,2,1,5,1,4,6,-1
3101,3,2,0,0,6,2,0,0,1,1,0,3,3,7,5,0,2,1,5,0,5,6,-1
6202,3,2,0,1,4,2,0,1,2,1,6,2,3,7,5,0,2,1,1,7,4,3,1
825,2,2,9,0,1,2,0,0,10,0,1,3,3,7,7,0,2,1,5,0,3,2,-1
3775,2,0,3,1,4,2,0,0,3,0,0,2,2,0,0,0,2,1,3,3,5,3,1
3311,3,2,3,0,6,2,0,0,7,1,0,3,3,5,3,0,2,1,5,1,5,6,-1
5463,4,3,7,0,6,2,0,0,9,0,6,3,3,6,7,0,2,2,1,7,1,5,-1
6697,3,2,0,1,4,2,0,1,2,1,6,2,2,7,7,0,2,1,1,7,4,6,1
