x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,index,label
36,8,167691,10,4,6,4,1,0,0,0,50,29172,-1.0
53,1,106176,14,0,4,5,1,1,7298,0,60,8661,1.0
49,1,423222,14,0,4,5,1,1,0,0,50,15952,1.0
44,1,248973,13,2,8,3,3,1,0,0,65,19183,-1.0
55,1,66356,9,5,2,4,1,1,0,0,40,22074,-1.0
27,2,182386,7,2,5,4,1,0,0,0,35,17827,-1.0
45,1,289230,13,2,12,4,1,0,0,0,48,32161,1.0
31,5,90409,10,0,3,5,1,1,0,0,35,21652,-1.0
40,1,259307,10,4,3,3,1,1,0,0,50,14401,-1.0
24,1,390348,9,4,0,3,1,1,0,0,40,25160,-1.0
34,1,160261,9,4,14,2,2,1,14084,0,35,30730,1.0
44,1,109339,7,2,11,4,0,0,0,0,46,29555,-1.0
42,1,155469,12,3,14,4,1,0,0,0,24,22922,-1.0
54,2,124993,9,0,5,5,1,1,0,0,40,11985,1.0
52,5,100226,13,0,8,0,1,0,0,0,40,22952,1.0
56,1,92444,10,0,3,5,3,1,0,0,50,21787,1.0
18,1,137363,8,4,6,2,1,0,0,0,20,13219,-1.0
51,0,45487,9,0,0,5,1,1,0,0,80,7061,-1.0
49,1,169818,9,0,6,0,3,0,0,0,40,13085,1.0
35,1,292472,16,0,12,5,2,1,0,0,40,30592,1.0
52,1,145333,13,2,4,3,1,1,0,0,60,13320,-1.0
41,1,116493,9,2,7,3,1,1,13550,0,44,8115,1.0
21,1,203894,11,4,8,2,1,0,0,0,40,3744,-1.0
35,1,61343,13,0,4,5,1,1,0,0,40,1597,1.0
30,1,181651,13,0,3,5,1,1,0,0,50,22846,-1.0
34,1,420749,9,0,7,5,1,1,0,0,30,5208,-1.0
53,5,140359,1,4,11,3,1,0,0,0,35,15056,-1.0
46,1,192793,10,2,3,3,1,1,0,0,40,720,-1.0
25,1,169124,13,4,8,2,1,1,0,0,40,25943,-1.0
41,1,115411,10,2,4,2,1,1,2174,0,45,26228,-1.0
56,0,162137,9,0,0,5,4,1,0,0,40,26600,-1.0
29,1,376680,9,4,14,2,3,1,0,0,40,19574,-1.0
35,1,213208,11,0,14,5,3,1,0,0,38,7093,-1.0
26,1,37202,13,4,12,3,1,0,0,0,45,20967,-1.0
39,1,90646,11,2,8,4,1,0,0,0,40,21441,-1.0
24,1,138768,12,4,2,2,1,1,0,0,30,92,-1.0
47,5,109705,9,2,3,3,1,0,0,0,40,1275,-1.0
56,8,62539,7,3,6,4,1,0,0,0,65,18013,1.0
21,2,233923,10,4,5,2,1,0,0,0,24,7791,-1.0
43,1,250802,10,2,7,4,1,1,0,0,35,2616,-1.0
38,1,130007,13,4,6,3,1,1,0,0,40,18184,-1.0
47,1,219632,3,6,11,1,1,1,0,0,40,9498,-1.0
67,8,107138,10,0,4,5,1,1,0,0,40,7494,-1.0
31,0,206823,13,2,1,3,1,1,0,0,50,7476,1.0
20,1,117606,11,4,8,2,1,0,0,0,40,26239,-1.0
23,1,35448,10,4,6,4,1,0,0,0,25,24387,-1.0
30,5,235271,13,0,1,5,1,1,0,0,40,4831,1.0
28,1,54243,9,2,0,3,1,1,0,0,60,11096,-1.0
55,8,119762,6,0,0,5,1,1,0,0,50,26908,-1.0
48,1,118158,12,0,0,5,1,1,0,0,44,5468,-1.0
38,1,220585,9,0,3,5,1,1,0,0,55,5845,1.0
38,1,173208,14,0,12,5,1,1,0,0,25,27217,-1.0
27,1,153078,15,4,12,2,2,1,0,0,40,7448,-1.0
32,1,473133,14,0,12,5,1,1,0,0,40,31403,1.0
26,8,221626,9,0,6,0,1,0,0,1579,20,24573,-1.0
24,5,322658,13,4,12,3,1,0,0,0,40,12002,-1.0
43,1,131435,13,2,6,3,1,0,0,0,40,29158,-1.0
